Redmi,Redmi_7A_(Matte_Blue_32_GB),6199,4.4,104121,7524,2,32
Realme,Realme_3i_(Diamond_Red_64_GB),9999,4.4,31215,2841,4,64
Realme,Realme_3i_(Diamond_Blue_32_GB),7999,4.4,127249,12798,3,32
Coolpad,Coolpad_Mega_5M_(Sky_Blue_16_GB),3890,3.4,193,22,1,16
Realme,Realme_3i_(Diamond_Black_32_GB),7999,4.4,127249,12798,3,32
Realme,Realme_3i_(Diamond_Blue_64_GB),9999,4.4,31215,2841,4,64
Realme,Realme_3i_(Diamond_Black_64_GB),9999,4.4,31215,2841,4,64
Realme,Realme_C2_(Diamond_Blue_16_GB),5999,4.4,347862,33524,2,16
Realme,Realme_C2_(Diamond_Black_16_GB),5999,4.4,347862,33524,2,16
Redmi,Redmi_7A_(Matte_Black_32_GB),6199,4.4,104121,7524,2,32
Vivo,Vivo_Z1x_(Phantom_Purple_64_GB),16990,4.5,6492,864,6,64
Vivo,Vivo_Z1x_(Phantom_Purple_128_GB),18990,4.5,6492,864,6,128
Vivo,Vivo_Z1x_(Fusion_Blue_64_GB),16990,4.5,6492,864,6,64
Coolpad,Coolpad_Mega_5A_(Champagne_Gold_16_GB),4390,3.8,278,22,2,16
Redmi,Redmi_Note_7S_(Sapphire_Blue_64_GB),11999,4.4,88871,7240,4,64
